Curve Name,Year,Quarter,Deal ID,Deal Name,Product Name,Instrument,Status,Buy/Sell,Strategy,Region ID,Group,Volume (MWh),Fixed Earnings,VW Fixed Rate,Floating Earnings,VW Floating Rate,TW Floating Price,Total Earnings
Demand Model (50% Cap),2025,2,1755,Energy Moree Solar 202202,Energy Moree Solar 202202,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa,6897.168714030834,-265540.99549018714,-38.50000000000001,259221.9922708804,37.58382649732027,123.43152158315355,-6319.0032193067045
Demand Model (50% Cap),2026,2,2649,Consumption SA1 KMART&TARGET TOU,Consumption SA1 KMART&TARGET TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail_lgc,1149.0630420221864,39642.67494976544,34.50000000000001,-25853.9184454992,-22.500000000000004,22.5,13788.756504266235
Demand Model (50% Cap),2026,1,495,SE000350,AlintaCCap,Cap,Contracted,Sell,SA Renewable Retailer,SA1,wholesale,47094.9973727924,0.0,0.0,-953848.0246224558,-20.253701620833095,76.83615387101894,-953848.0246224558
Demand Model (50% Cap),2026,1,2367,SE001837,GSH2026,$300 Cap,Contracted,Sell,Portfolio Optimisation,SA1,wholesale,0.0,0.0,NaN,-0.0,NaN,76.83615387101894,0.0
Demand Model (50% Cap),2025,2,2218,SE001690,BNM2025,Futures,Contracted,Buy,Option Book,NSW1,wholesale,0.0,-0.0,NaN,0.0,NaN,124.95462823703338,0.0
Demand Model (50% Cap),2026,3,2746,Energy New England Solar 202412,Energy New England Solar 20241,Intermittent Generator,Hypothetical,Buy,BOQ Strategic,NSW1,ppa,40824.6768158419,-1978581.4748478027,-48.46533099999997,1547858.8079949943,37.91478411396394,113.27416980147424,-430722.66685280926
Demand Model (50% Cap),2026,4,1714,Consumption QLD1 ISPT TOU,Consumption QLD1 ISPT TOU,Retail Customer,Contracted,Sell,Value Solar,QLD1,retail_lgc,3636.4221017064356,116365.50725460594,32.0,-81819.49728839527,-22.50000000000013,22.5,34546.009966211306
Demand Model (50% Cap),2026,1,499,SE000354,Nevertire FVS,Swap,Contracted,Buy,NSW Renewable Retailer,NSW1,wholesale,31724.608327933467,-2236584.8875,-70.50000001199986,3583099.024588507,112.94383803104652,100.35254828652249,1346514.1370885058
Demand Model (50% Cap),2025,2,2207,SE001679,FVS-Cal25,Swap,Contracted,Sell,Portfolio Optimisation,VIC1,wholesale,10920.000008735877,824459.9912640032,75.49999913960114,-1179320.8605255561,-107.99641571264769,107.99641571264642,-354860.86926155566
Demand Model (50% Cap),2025,4,1805,Energy Waubra Wind 202401,Energy Waubra Wind 202401,Wind Farm,Contracted,Buy,SA Renewable Retailer,VIC1,ppa,56688.31829527156,-2607662.6415824913,-45.99999999999999,2430658.604240868,42.87759237415254,51.410652066812844,-177004.0373416239
Demand Model (50% Cap),2025,2,1737,Consumption SA1 Sarstedt TOU,Consumption SA1 Sarstedt TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail_lgc,409.7146410538268,8911.29344292073,21.749999999999993,-10611.609203294112,-25.899999999999995,25.900000000000002,-1700.315760373381
Demand Model (50% Cap),2025,2,2649,Consumption SA1 KMART&TARGET TOU,Consumption SA1 KMART&TARGET TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail_lgc,0.0,0.0,NaN,-0.0,NaN,25.9,0.0
Demand Model (50% Cap),2025,4,1741,Consumption SA1 Sundrop Farms TOU,Consumption SA1 Sundrop Farms TOU,Retail Customer,Contracted,Sell,Sale to Retail,SA1,retail_lgc,5497.950278349813,221292.49870357997,40.25,-142396.9122092602,-25.900000000000006,25.899999999999995,78895.58649431981
Demand Model (50% Cap),2025,4,2649,Consumption SA1 KMART&TARGET TOU,Consumption SA1 KMART&TARGET TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail_lgc,1289.264345748287,57694.57947223585,44.75,-33391.94655488063,-25.9,25.899999999999995,24302.632917355215
Demand Model (50% Cap),2025,2,2746,Energy New England Solar 202412,Energy New England Solar 20241,Intermittent Generator,Hypothetical,Buy,BOQ Strategic,NSW1,ppa_lgc,35733.77455458183,-879050.8540427132,-24.6,925504.7609636694,25.9,25.899999999999977,46453.90692095638
Demand Model (50% Cap),2026,4,1750,Export SA1 SA Government Non-TOU,Export SA1 SA Government Non-TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail,-1582.0116380246943,-94920.69828148169,60.00000000000002,30585.823753322693,-19.333501105916177,56.450651934698804,-64334.874528159
Demand Model (50% Cap),2026,4,1749,Export NSW1 CSIRO Non-TOU,Export NSW1 CSIRO Non-TOU,Retail Customer,Contracted,Sell,Sale to Retail,NSW1,retail,-57.92384088999482,-2027.3344311498188,35.0,1264.9304982984484,-21.837821506013764,98.30391289428411,-762.4039328513703
Demand Model (50% Cap),2026,1,1712,Consumption NSW1 SSROC TOU,Consumption NSW1 SSROC TOU,Retail Customer,Contracted,Sell,NSW Renewable Retailer,NSW1,retail,41060.708855783465,2802342.0073600938,68.24874887578517,-4466719.5662964815,-108.78330381447707,100.35254828652246,-1664377.5589363868
